0,AFST 100 Introduction to Africana Studies,"This interdisciplinary introduction to Africana Studies combines teaching foundational texts in the field with instruction in critical reading and writing. The course will cover Africa and the Atlantic Slave Trade, the creation of African Disaporic communities, the conceptualization and representation of Black culture and identity, and the intellectual and institutional development of Black and Africana Studies.This course is cross-listed as LALC 121.Attributes: Appropriate for First-Year, Comparative Civilizations, ES Discip Specializations Crs, Lat Am, Latino, Carib St Elect, Social Sciences (Division II)"
1,AFST 200 Approaches to Africana Studies,"This course will investigate the importance of conceptual analysis and the development of concepts in the theoretical and textual research of Africana Studies. Thus, the course will focus on various interpretive frameworks and approaches to organizing and understanding Africana Studies, including but not limited to the African model, Afrocentricity, diaspora model, critical race theory, post-modernism, and post colonialism.Prerequisite: 100.Attributes: Social Sciences (Division II), Writing in the Discipline"
2,AFST 220 Topics in Africana Studies,"Selected topics in Africana Studies at the intermediate level. The subject matter will vary from year to year dependent upon the interests of core and contributing Africana Studies faculty as well as the needs and interests of students. Topics may include the Atlantic Slave Trade and Africans in the Making of the Atlantic World, Major African American Writers, Caribbean Diasporic Identities, among others.Prerequisite dependent upon topic.Attributes: Africana Studies Elective, Social Sciences (Division II)"
3,AFST 235 Introduction to Caribbean Studies,"The greater Caribbean region was at the center of the formation of the modern African Diaspora. Over the years, the Caribbean region has played an influential role in the development of social and cultural movements throughout the African Diaspora. This class will survey the Caribbean, examining its location, population, diversity, and significant role in shaping world events. Students will become familiar with the Caribbean region, its place as a site of empire, and the important role of key intellectuals who were foundational in developing anti-colonial and post-colonial black consciousness. The course will cover the following areas of inquiry: geography and sociology of the region, key theoretical concepts, leading intellectuals, transforming world events and cultural production.This course is cross-listed as LALC 122.Attributes: AFST - Diaspora Course, Appropriate for First-Year, ES Discip Specializations Crs, Lat Am, Latino, Carib St Elect, Social Sciences (Division II)"
4,AFST 304 Afro-Brazilian Literature,"This class analyzes the literary production of Afro-Brazilians writers, as well as the representation of Afro-Brazilian characters in literary texts. It reviews different literary periods and the images those periods created and/or challenged and how they have affected and continue to affect the lives of Afro-Brazilians. Also, by paying particular attention to gender and social issues in different regional contexts, the class considers how Brazilian authors of African descent critically approach national discourses, such as racial democracy and Brazilianness. Taught in English. Available as a FLIC option in Portuguese.This course is cross-listed as PORT 304 and LALC 304. Offered every two years.Attributes: AFST - Diaspora Course, Humanities (Division I B), Lat Am, Latino, Carib St Elect, Portuguese & Brazilian Studies, Writing in the Discipline"
5,AFST 310 Special Topics in Caribbean History and Culture,"This course offers a critical examination of issues related to the study of the Caribbean within the wider African diaspora. Examples of topics that would be offered at this level are ""The Anthropology of Music in the Caribbean"" and ""The Caribbean and its African and Indian Diasporas.""Attributes: Social Sciences (Division II)"
6,AFST 320 Topics in Africana Studies,"Selected topics in Africana Studies at the advanced level. The subject matter will vary from year to year dependent upon the interests of core and contributing Africana Studies faculty as well as the needs and interests of students. Topics may include Representation of the Black Power Revolution, Black Feminisms, African American Women Writers, African Women's History, Race, Gender and the Body, Post-Colonial Feminist Science Studies, and Black Aesthetics and Visual Culture, among others.Prerequisite dependent upon topic.Attributes: Africana Studies Elective, Social Sciences (Division II)"
7,AFST 400 Writing in Africana Studies,"This course will build on experiences in the methods course. Students in this course continue research toward and writing of a senior thesis. The emphasis is on writing skills and course material; assignments link those skills to work in Africana Studies. Seniors in the major will work independently with the director of Africana Studies and a second faculty reader (representing a discipline closer to the senior's interest) to produce a lengthy paper or special project which focuses on an issue relevant to the student's concentration. Under the direction of the director of Africana Studies, students will meet collectively two or three times during the semester with the directors (and, if possible, other Africana Studies core and contributing faculty) to share bibliographies, research data, early drafts, and the like. This group will also meet at the end of the semester to discuss and evaluate final papers and projects.Prerequisites: 100 and 200; four 200/300-level AFST approved courses (2 Africa, 2 Diaspora); three 300-level (in area of concentration)."
8,AMST 101 Topics in U.S. Cultural Diversity,"These courses explore cultural diversity in the United States through an interdisciplinary framework combining historical, literary, and cultural analysis. Students are introduced to the methods and questions central to the interdisciplinary field of American Studies, and special attention is paid to issues of race, ethnicity, gender, class, and sexualities in exploring American histories and cultures. Topics may include ; Class and Culture; Body Politics; Comparative Ethnicities; The New Negro Movement; Race, Class, and the American Dream; Urban Landscapes.Attributes: Appropriate for First-Year, Social Sciences (Division II), US Diversity"
9,AMST 200 Aspects of American Culture,"Selected topics in American studies at the introductory level. The subject matter will vary from year to year dependent upon the interests of faculty and the needs and interests of students. Recent topics have included mass media; health, illness, and culture; Latino/a U.S.A.; racial politics of popular music; Caribbean-American literary and visual cultures; Black feminisms.This course is cross-listed as LALC 123 when topic is relevant.Attributes: Appropriate for First-Year, Social Sciences (Division II)"
